C:/Users/Ben/Documents/MeerkatReader/TrainingData/0_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/0_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/0_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/0_4.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/0_5.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/0_6.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/1_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/1_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/1_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/1_4.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/1_5.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/1_6.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/2_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/2_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/2_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/2_4.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/2_5.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/2_6.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/3_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/3_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/3_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/3_4.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/3_5.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/3_6.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/4_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/4_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/4_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/4_4.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/4_5.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/4_6.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/5_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/5_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/5_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/5_4.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/5_5.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/5_6.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/6_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/6_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/6_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/6_4.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/6_5.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/6_6.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/7_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/7_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/7_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/7_4.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/7_5.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/7_6.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/8_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/8_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/8_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/8_4.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/8_5.jpg,4
C:/Users/Ben/Documents/MeerkatReader/TrainingData/8_6.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/9_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/9_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/9_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/9_4.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/9_5.jpg,4
C:/Users/Ben/Documents/MeerkatReader/TrainingData/9_6.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/10_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/10_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/10_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/10_4.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/10_5.jpg,4
C:/Users/Ben/Documents/MeerkatReader/TrainingData/10_6.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/11_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/11_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/11_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/11_4.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/11_5.jpg,4
C:/Users/Ben/Documents/MeerkatReader/TrainingData/11_6.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/12_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/12_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/12_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/12_4.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/12_5.jpg,4
C:/Users/Ben/Documents/MeerkatReader/TrainingData/12_6.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/13_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/13_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/13_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/13_4.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/13_5.jpg,4
C:/Users/Ben/Documents/MeerkatReader/TrainingData/13_6.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/14_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/14_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/14_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/14_4.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/14_5.jpg,4
C:/Users/Ben/Documents/MeerkatReader/TrainingData/14_6.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/15_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/15_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/15_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/15_4.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/15_5.jpg,4
C:/Users/Ben/Documents/MeerkatReader/TrainingData/15_6.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/16_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/16_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/16_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/16_4.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/16_5.jpg,4
C:/Users/Ben/Documents/MeerkatReader/TrainingData/16_6.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/17_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/17_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/17_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/17_4.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/17_5.jpg,4
C:/Users/Ben/Documents/MeerkatReader/TrainingData/17_6.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/18_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/18_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/18_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/18_4.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/18_5.jpg,4
C:/Users/Ben/Documents/MeerkatReader/TrainingData/18_6.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/19_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/19_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/19_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/19_4.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/19_5.jpg,4
C:/Users/Ben/Documents/MeerkatReader/TrainingData/19_6.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/20_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/20_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/20_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/20_4.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/20_5.jpg,4
C:/Users/Ben/Documents/MeerkatReader/TrainingData/20_6.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/21_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/21_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/21_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/21_4.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/21_5.jpg,4
C:/Users/Ben/Documents/MeerkatReader/TrainingData/21_6.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/22_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/22_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/22_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/22_4.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/22_5.jpg,4
C:/Users/Ben/Documents/MeerkatReader/TrainingData/22_6.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/23_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/23_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/23_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/23_4.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/23_5.jpg,4
C:/Users/Ben/Documents/MeerkatReader/TrainingData/23_6.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/24_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/24_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/24_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/24_4.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/24_5.jpg,4
C:/Users/Ben/Documents/MeerkatReader/TrainingData/24_6.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/25_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/25_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/25_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/25_4.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/25_5.jpg,4
C:/Users/Ben/Documents/MeerkatReader/TrainingData/25_6.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/26_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/26_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/26_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/26_4.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/26_5.jpg,4
C:/Users/Ben/Documents/MeerkatReader/TrainingData/26_6.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/27_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/27_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/27_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/27_4.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/27_5.jpg,4
C:/Users/Ben/Documents/MeerkatReader/TrainingData/27_6.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/28_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/28_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/28_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/28_4.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/28_5.jpg,4
C:/Users/Ben/Documents/MeerkatReader/TrainingData/28_6.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/29_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/29_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/29_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/29_4.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/29_5.jpg,4
C:/Users/Ben/Documents/MeerkatReader/TrainingData/29_6.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/30_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/30_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/30_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/30_4.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/30_5.jpg,4
C:/Users/Ben/Documents/MeerkatReader/TrainingData/30_6.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/31_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/31_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/31_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/31_4.jpg,2
C:/Users/Ben/Documents/MeerkatReader/TrainingData/31_5.jpg,4
C:/Users/Ben/Documents/MeerkatReader/TrainingData/31_6.jpg,5
C:/Users/Ben/Documents/MeerkatReader/TrainingData/32_1.jpg,F
C:/Users/Ben/Documents/MeerkatReader/TrainingData/32_2.jpg,H
C:/Users/Ben/Documents/MeerkatReader/TrainingData/32_3.jpg,1
C:/Users/Ben/Documents/MeerkatReader/TrainingData/32_4.jpg,2
